Te_eV,k_exc_m3_s,mean_energy_eV,E_over_N_Td
2.88846000e-02,0.00000000e+00,4.33269000e-02,1.00000000e-01
2.96564000e-02,0.00000000e+00,4.44846000e-02,1.15478000e-01
3.05672000e-02,0.00000000e+00,4.58508000e-02,1.33352000e-01
3.16220000e-02,0.00000000e+00,4.74330000e-02,1.53993000e-01
3.28208667e-02,0.00000000e+00,4.92313000e-02,1.77828000e-01
3.41621333e-02,0.00000000e+00,5.12432000e-02,2.05353000e-01
3.56422667e-02,0.00000000e+00,5.34634000e-02,2.37137000e-01
3.72580000e-02,0.00000000e+00,5.58870000e-02,2.73842000e-01
3.90072667e-02,0.00000000e+00,5.85109000e-02,3.16228000e-01
4.08900667e-02,0.00000000e+00,6.13351000e-02,3.65174000e-01
4.29090000e-02,0.00000000e+00,6.43635000e-02,4.21697000e-01
4.50700000e-02,0.00000000e+00,6.76050000e-02,4.86968000e-01
4.73826000e-02,0.00000000e+00,7.10739000e-02,5.62341000e-01
4.98605333e-02,0.00000000e+00,7.47908000e-02,6.49382000e-01
5.25234667e-02,0.00000000e+00,7.87852000e-02,7.49894000e-01
5.53964000e-02,0.00000000e+00,8.30946000e-02,8.65964000e-01
5.85118667e-02,0.00000000e+00,8.77678000e-02,1.00000000e+00
6.19124000e-02,0.00000000e+00,9.28686000e-02,1.15478000e+00
6.56534667e-02,0.00000000e+00,9.84802000e-02,1.33352000e+00
6.98153333e-02,4.75740000e-29,1.04723000e-01,1.53993000e+00
7.45120000e-02,3.03741000e-26,1.11768000e-01,1.77828000e+00
7.99420000e-02,8.52218000e-25,1.19913000e-01,2.05352000e+00
8.64513333e-02,1.81330000e-23,1.29677000e-01,2.37137000e+00
9.47133333e-02,2.73786000e-22,1.42070000e-01,2.73842000e+00
1.06084000e-01,2.82831000e-21,1.59126000e-01,3.16228000e+00
1.22877333e-01,1.96847000e-20,1.84316000e-01,3.65174000e+00
1.47456000e-01,9.33292000e-20,2.21184000e-01,4.21696000e+00
1.79744000e-01,3.14541000e-19,2.69616000e-01,4.86968000e+00
2.16416000e-01,8.07327000e-19,3.24624000e-01,5.62341000e+00
2.53484000e-01,1.70145000e-18,3.80226000e-01,6.49382000e+00
2.88702000e-01,3.13709000e-18,4.33053000e-01,7.49894000e+00
3.21614667e-01,5.29484000e-18,4.82422000e-01,8.65964000e+00
3.52734000e-01,8.43056000e-18,5.29101000e-01,1.00000000e+01
3.82874667e-01,1.29081000e-17,5.74312000e-01,1.15478000e+01
4.12906000e-01,1.92361000e-17,6.19359000e-01,1.33352000e+01
4.43594000e-01,2.80954000e-17,6.65391000e-01,1.53993000e+01
4.75520000e-01,4.03393000e-17,7.13280000e-01,1.77828000e+01
5.08975333e-01,5.69276000e-17,7.63463000e-01,2.05353000e+01
5.43872667e-01,7.87716000e-17,8.15809000e-01,2.37137000e+01
5.79730667e-01,1.06506000e-16,8.69596000e-01,2.73842000e+01
6.15832000e-01,1.40310000e-16,9.23748000e-01,3.16228000e+01
6.51534000e-01,1.79920000e-16,9.77301000e-01,3.65174000e+01
6.86573333e-01,2.24902000e-16,1.02986000e+00,4.21696000e+01
7.21233333e-01,2.75063000e-16,1.08185000e+00,4.86968000e+01
